0,0,0,0,0,36,32,112,63,0,0,11,220,162,0,0,7,95,119,0,0,0,15,7,32,A
5,0,8,24,0,3,0,123,55,0,0,83,105,142,0,0,137,88,117,0,0,26,4,22,0,A
0,26,0,0,22,0,16,102,20,0,0,10,154,105,0,0,52,218,155,0,0,5,35,30,0,A
6,38,0,26,22,17,0,73,8,0,14,4,161,125,0,0,22,264,169,0,0,56,26,23,0,A
0,5,8,0,0,26,0,80,28,0,5,0,151,120,0,16,32,244,200,22,6,12,64,36,0,A
9,0,0,0,0,23,0,76,16,0,4,29,199,108,9,25,26,226,181,0,5,2,33,6,0,A
0,0,8,16,0,16,0,66,16,0,40,26,163,109,11,0,46,231,180,28,12,7,14,19,0,A
28,0,0,32,0,19,8,6,6,2,19,16,168,133,4,51,0,228,198,33,15,0,23,19,25,A
14,10,0,0,16,27,0,11,23,15,18,0,185,155,16,20,9,219,188,4,4,0,3,31,34,A
22,19,44,0,0,23,24,50,60,14,27,42,229,202,26,30,50,165,145,77,21,0,10,5,0,A
0,0,0,0,32,32,0,23,3,0,20,13,183,85,0,2,20,233,136,0,28,16,51,27,0,A
8,0,0,0,0,21,0,33,0,0,27,19,207,86,0,7,66,215,149,0,1,9,38,47,0,A
0,0,0,0,0,0,0,23,0,0,0,21,197,76,0,0,115,167,142,48,16,23,16,26,4,A
2,0,0,0,0,10,0,0,0,0,0,14,209,85,0,0,76,204,147,0,0,5,8,4,0,A
0,0,0,0,0,16,0,8,0,0,11,21,176,58,0,11,17,229,166,0,3,3,33,40,1,A
30,0,0,0,57,21,0,0,0,0,5,25,181,79,0,17,29,246,172,0,30,6,25,16,4,A
15,0,0,0,6,41,0,67,6,10,8,6,204,103,12,14,160,260,169,0,8,62,36,1,11,A
17,0,20,11,10,97,8,12,5,0,32,4,155,125,30,70,0,204,208,16,9,0,20,8,0,A
8,0,0,0,0,18,0,6,6,0,18,0,210,123,8,31,73,246,195,9,11,27,3,29,45,A
11,0,11,5,9,25,0,29,29,6,22,0,184,134,11,23,0,176,174,16,18,30,4,3,0,A
0,32,0,3,0,0,0,35,43,0,4,0,170,117,0,0,0,197,185,0,0,16,27,13,0,A
3,16,48,0,0,0,0,35,0,0,6,18,263,4,0,0,120,211,69,0,0,23,20,24,0,A
42,48,16,0,18,28,0,0,23,0,0,33,192,64,0,0,116,151,138,0,0,2,12,7,0,A
9,64,48,17,0,2,0,0,24,10,2,2,194,91,0,4,39,224,177,0,0,0,1,8,0,A
6,0,32,32,11,0,59,14,15,0,10,13,205,97,0,21,38,250,178,9,3,4,32,31,0,A
40,56,50,0,0,41,0,28,12,0,6,0,174,147,0,76,16,224,143,0,21,9,10,7,0,A
12,35,26,0,16,41,32,16,4,0,32,0,171,114,0,26,8,250,178,0,11,0,5,3,0,A
17,0,12,0,6,20,0,51,7,7,32,4,220,171,6,24,15,174,101,4,13,0,6,4,16,A
19,48,16,0,0,14,33,38,42,0,23,0,221,188,24,29,0,153,93,0,8,0,16,0,0,A
20,0,21,0,5,60,20,9,10,16,34,0,160,210,0,28,5,202,164,0,5,0,13,7,0,A
27,56,16,0,0,3,0,17,1,0,21,0,167,118,0,25,0,214,166,0,0,0,40,18,0,A
0,0,0,0,0,0,0,7,0,0,0,0,184,74,0,21,96,249,158,0,9,0,7,14,0,A
0,16,0,12,32,8,0,10,7,0,8,0,192,66,0,19,51,259,151,0,11,72,38,58,12,A
19,33,0,0,0,7,5,5,7,0,0,22,199,103,0,13,86,240,163,0,5,59,59,14,0,A
7,0,0,0,0,5,18,34,2,0,36,16,185,118,0,46,20,227,148,16,12,6,15,3,0,A
10,0,0,8,32,8,0,1,4,0,16,0,167,127,0,7,0,207,181,0,6,0,19,16,16,A
4,0,0,32,32,12,0,17,25,0,4,0,194,148,16,11,0,199,150,0,10,0,13,5,11,A
41,14,15,0,32,36,0,8,9,29,50,2,210,99,33,18,4,251,118,0,22,3,23,8,0,A
17,8,0,0,0,33,0,75,32,0,42,2,181,125,7,27,23,193,140,39,8,12,9,11,0,A
8,0,0,0,0,17,12,39,44,31,20,4,177,85,18,23,14,249,158,24,20,14,10,9,16,A
50,24,72,0,0,0,0,0,0,0,0,0,157,69,0,0,0,211,154,8,0,0,66,16,0,A
36,84,84,36,0,5,0,16,24,0,0,0,200,69,0,4,8,258,150,0,0,6,41,7,0,A
21,9,12,84,48,0,0,0,0,0,0,9,216,20,0,8,115,193,115,0,0,41,11,20,0,A
12,72,84,84,84,2,4,0,8,0,3,0,135,64,0,5,0,227,166,0,0,0,26,29,0,A
0,0,0,0,0,10,0,23,3,0,5,6,211,88,0,0,62,206,141,0,0,15,15,7,0,A
0,0,12,36,0,10,0,0,0,0,7,4,200,73,8,27,53,204,140,0,12,19,8,20,0,A
4,0,0,0,0,10,0,15,18,0,21,0,210,115,0,3,29,254,172,0,5,9,22,30,0,A
30,24,84,84,138,24,16,14,7,16,47,40,178,86,0,72,5,250,148,0,14,5,21,23,0,A
16,0,0,0,8,27,0,8,6,0,24,0,149,164,0,31,0,197,190,0,18,0,18,15,0,A
19,0,34,0,16,23,0,1,18,24,12,0,148,132,78,37,0,206,158,10,20,16,4,25,10,A
0,0,0,0,0,0,0,59,1,0,0,0,168,95,8,0,0,217,140,0,0,0,21,13,0,A
28,0,0,0,0,1,0,23,8,0,3,0,192,100,0,1,8,255,128,0,0,1,18,17,0,A
0,0,0,0,0,24,0,13,6,18,0,0,173,96,0,0,0,228,164,0,0,0,58,41,8,A
3,0,0,0,0,2,0,24,0,0,14,0,134,93,0,8,0,216,167,0,14,26,31,38,0,A
0,0,0,0,0,5,0,18,3,0,12,102,210,62,0,2,24,249,136,12,30,2,7,9,8,A
0,32,112,48,0,18,0,47,4,0,15,5,202,121,0,38,7,205,131,0,0,12,8,3,0,A
0,0,0,0,0,13,67,10,5,43,5,0,178,145,4,3,0,220,64,0,3,0,24,0,0,A
5,0,24,0,0,5,0,11,4,8,23,0,160,93,21,50,0,186,124,50,47,11,10,15,12,A
11,0,0,0,0,25,0,31,3,16,28,0,163,98,0,20,0,234,191,32,21,0,10,8,9,A
10,0,0,0,33,9,0,11,13,60,56,20,159,130,10,22,8,211,126,30,28,6,2,11,17,A
8,9,7,8,11,0,0,10,4,0,0,0,194,52,0,8,4,245,157,0,0,2,23,11,0,A
61,10,10,15,7,0,12,10,3,0,6,8,215,75,0,0,15,252,131,0,0,24,5,3,0,A
74,132,127,11,10,8,23,12,8,10,0,0,215,51,0,0,112,252,127,0,0,0,13,5,0,A
76,9,5,5,24,2,0,0,0,16,0,0,170,48,0,35,12,243,122,0,0,3,27,15,0,A
75,130,11,8,8,0,0,11,7,0,5,0,150,123,0,4,0,241,178,0,0,0,30,15,18,A
6,8,115,16,12,19,0,18,2,0,8,0,186,64,0,12,12,245,147,0,27,23,9,9,0,A
68,126,125,142,83,10,0,9,84,18,6,0,151,189,16,48,0,137,90,0,2,0,0,0,0,A
27,10,107,16,8,20,0,11,46,16,15,8,216,127,9,18,0,153,50,8,9,27,7,10,0,A
16,11,11,8,11,41,13,30,21,0,25,0,223,131,0,2,16,166,118,0,12,0,0,0,0,A
19,28,26,19,44,28,0,29,2,39,36,0,153,121,14,18,16,188,172,16,17,0,0,4,0,A
0,0,0,16,0,0,0,120,12,0,0,52,241,141,0,0,37,100,108,0,0,15,38,8,0,A
0,0,0,0,0,10,0,72,1,32,0,14,169,88,0,5,5,243,123,0,16,41,2,0,0,A
0,0,0,0,0,0,0,67,1,0,5,8,271,54,0,0,65,194,69,0,8,17,17,0,18,A
0,0,8,2,0,3,20,33,8,0,0,32,173,89,0,0,36,232,138,0,0,16,6,27,0,A
17,0,0,0,21,11,0,25,12,20,30,23,212,107,12,9,22,245,128,0,7,12,21,8,0,A
9,0,0,16,48,15,8,27,32,0,11,16,155,90,6,6,4,208,154,4,7,4,24,17,0,A
11,16,0,48,56,7,0,14,6,24,61,7,160,127,51,92,0,217,120,45,10,0,5,3,20,A
15,0,9,2,0,36,18,15,16,24,57,60,229,79,24,27,24,183,83,18,7,30,14,22,0,A
23,6,0,0,14,6,0,9,8,39,27,18,163,107,59,21,22,243,140,11,21,0,2,0,34,A
44,40,32,0,0,40,0,2,2,74,27,0,70,214,17,37,0,155,217,17,24,0,11,10,14,A
22,0,24,8,0,0,0,108,21,0,0,8,151,131,0,28,8,205,143,0,2,0,13,1,0,A
18,0,0,0,0,0,0,71,15,0,9,9,307,54,0,7,14,149,59,0,30,0,0,0,0,A
0,6,0,0,8,6,0,54,50,0,2,0,215,169,0,6,24,116,68,0,0,0,0,0,0,A
0,0,0,0,0,29,12,13,6,0,0,1,172,190,24,5,0,176,139,9,10,0,12,0,0,A
39,0,0,0,0,0,10,9,9,0,7,0,172,158,0,0,24,223,145,0,0,0,3,0,4,A
6,18,0,58,21,9,5,9,9,0,5,0,186,142,0,26,0,206,138,16,9,26,32,68,89,A
3,0,0,16,16,61,5,0,4,16,16,0,95,211,6,26,12,167,169,4,22,56,32,32,63,A
10,17,0,37,0,17,0,10,87,0,38,8,173,236,0,27,8,96,87,0,11,11,32,16,24,A
11,6,0,2,23,23,0,4,79,28,17,0,104,276,51,11,24,97,55,31,21,4,54,32,8,A
41,0,0,16,81,18,0,6,98,19,31,18,186,187,0,21,0,126,75,0,8,0,0,31,0,A
0,0,0,0,12,0,0,16,0,0,4,15,351,19,0,0,108,98,25,0,4,32,2,20,0,A
1,51,0,0,0,9,0,8,16,0,8,0,206,58,0,0,21,223,133,0,0,0,1,6,0,A
0,0,0,0,0,0,0,14,0,0,2,3,250,15,16,0,30,200,85,0,0,3,3,4,0,A
32,0,8,3,8,0,0,13,9,0,25,0,282,50,0,8,0,202,93,0,0,0,4,0,0,A
0,0,0,0,0,0,0,0,0,0,9,0,186,66,0,10,0,210,124,0,0,0,4,3,0,A
0,0,32,63,0,31,0,4,10,0,10,2,190,160,31,14,1,179,114,0,0,0,3,7,0,A
7,0,0,32,0,22,0,2,22,26,10,0,140,181,4,45,0,177,132,0,4,0,2,4,0,A
17,0,0,0,8,26,0,9,32,16,1,0,114,245,48,15,0,163,141,46,25,0,6,8,0,A
19,32,40,32,0,25,0,1,28,12,28,0,168,170,0,28,16,154,138,32,18,0,5,29,28,A
11,6,20,0,0,22,0,5,40,0,37,24,136,122,4,36,0,184,192,40,19,0,4,3,28,A
