0,0,0,0,0,0,0,21,2,0,0,0,44,110,0,0,0,73,49,0,0,0,0,0,0,J
0,0,0,0,0,0,0,10,2,0,0,0,3,122,0,0,0,65,76,0,0,0,0,0,0,J
0,0,0,0,0,0,0,2,9,0,0,0,22,150,0,0,0,34,97,0,0,0,0,0,0,J
0,0,0,0,0,0,0,6,5,0,0,0,11,122,0,0,0,56,54,0,0,0,0,0,0,J
0,0,0,0,0,0,0,12,3,0,0,0,7,113,0,0,0,58,65,0,0,0,0,0,0,J
0,0,0,0,0,0,0,2,10,0,0,0,41,112,0,0,0,40,63,0,0,0,0,0,0,J
0,0,0,6,6,0,0,18,24,2,0,0,27,132,0,0,0,40,54,0,0,0,0,0,0,J
0,0,0,0,0,0,0,9,22,0,0,0,15,140,0,0,0,69,81,0,0,0,0,0,0,J
0,0,0,0,0,0,0,10,8,0,0,0,15,117,0,0,0,78,53,0,0,0,0,0,0,J
0,0,0,0,0,0,0,3,24,0,0,0,22,147,0,0,0,42,38,0,0,0,0,0,0,J
0,0,0,0,0,0,0,12,1,0,0,0,67,87,0,0,0,54,25,0,0,0,0,0,0,J
0,0,0,0,0,0,0,8,6,0,0,0,78,74,0,0,0,84,37,0,0,0,0,0,0,J
0,0,0,0,0,0,0,7,11,0,0,0,49,104,0,0,0,75,40,0,0,0,0,0,0,J
0,0,0,0,0,0,0,1,23,0,0,0,21,128,0,0,0,44,37,0,0,0,0,0,0,J
0,0,0,0,0,0,0,8,14,0,0,0,39,101,0,0,0,42,19,0,0,0,0,0,0,J
0,0,0,0,0,0,0,11,24,0,0,0,29,117,0,0,0,15,49,0,0,0,0,0,0,J
0,0,0,0,0,0,0,2,29,0,0,0,35,125,0,0,0,27,18,0,0,0,0,0,0,J
0,0,0,0,0,0,0,10,30,0,0,0,38,142,0,0,0,27,36,0,0,0,0,0,0,J
0,0,0,0,0,0,0,0,18,0,0,0,6,116,0,0,0,18,72,0,0,0,0,0,0,J
0,0,0,0,0,0,0,5,30,0,0,0,15,141,0,0,0,48,35,0,0,0,0,0,0,J
0,0,0,0,0,0,0,15,1,0,0,0,125,6,0,0,0,124,70,0,0,0,0,0,0,J
0,0,0,0,0,0,0,11,8,0,0,0,73,33,0,0,0,81,12,0,0,0,0,0,0,J
0,0,0,0,0,0,0,3,8,0,0,0,70,65,0,0,0,85,21,0,0,0,0,0,0,J
0,0,0,0,0,0,0,2,6,0,0,0,56,59,0,0,0,82,21,0,0,0,0,0,0,J
0,0,0,0,0,0,0,25,12,0,0,0,116,36,0,0,0,57,27,0,0,0,0,0,0,J
0,0,0,0,0,0,0,3,6,0,0,0,58,71,0,0,0,77,18,0,0,0,0,0,0,J
0,0,0,0,0,0,0,25,3,0,0,4,129,31,0,0,0,61,2,0,0,0,0,0,0,J
0,0,0,0,0,0,0,39,3,0,0,0,170,41,0,0,0,12,14,0,0,0,0,0,0,J
0,0,0,0,0,0,0,33,1,0,0,0,40,95,0,0,0,64,9,0,0,0,0,0,0,J
0,0,0,0,0,0,0,21,7,0,0,0,111,42,0,0,0,57,11,0,0,0,0,0,0,J
0,0,0,0,0,0,0,8,23,0,0,0,137,7,0,0,0,118,21,0,0,0,0,0,0,J
0,0,0,0,0,0,0,20,0,0,0,0,117,42,0,0,0,107,9,0,0,0,0,0,0,J
0,0,0,0,0,0,0,25,3,0,0,2,150,9,0,0,0,70,21,0,0,0,0,0,0,J
0,0,0,0,0,0,0,38,19,0,0,0,149,13,0,0,0,73,9,0,0,0,0,0,0,J
0,0,0,0,0,0,0,29,2,0,0,3,148,11,0,0,0,62,1,0,0,0,0,0,0,J
0,0,0,0,0,0,0,11,17,0,0,0,28,130,0,0,0,42,18,0,0,0,0,0,0,J
0,0,0,0,0,0,0,23,1,0,0,0,23,114,0,0,0,53,20,0,0,0,0,0,0,J
0,0,0,0,0,0,0,8,39,0,0,0,29,145,0,0,0,36,30,0,0,0,0,0,0,J
0,0,0,0,0,0,0,29,1,0,0,3,135,36,0,0,2,90,6,0,0,0,0,0,0,J
0,0,0,0,0,0,0,16,0,0,0,15,142,0,0,0,9,66,0,0,0,0,0,0,0,J
0,0,0,0,0,0,0,8,1,0,0,0,118,50,0,0,0,56,4,0,0,0,0,0,0,J
0,0,0,0,0,0,0,13,1,0,0,0,46,82,0,0,0,90,11,0,0,0,0,0,0,J
0,0,0,0,0,0,0,3,21,0,0,0,97,45,0,0,0,100,9,0,0,0,0,0,0,J
0,0,0,0,0,0,0,4,7,0,0,0,105,45,0,0,0,106,2,0,0,0,0,0,0,J
0,0,0,0,0,0,0,26,4,0,0,0,111,49,0,0,0,62,1,0,0,0,0,0,0,J
0,0,15,0,0,0,0,11,36,0,0,0,69,126,0,0,0,47,11,0,0,0,0,0,0,J
0,0,0,0,0,0,0,68,55,0,0,0,52,119,0,0,0,30,8,0,0,0,0,0,0,J
0,0,0,0,0,0,0,26,4,0,0,0,197,30,0,0,0,2,0,0,0,0,0,0,0,J
0,0,0,0,0,0,0,26,5,0,0,0,94,38,0,0,1,118,11,0,0,0,0,0,0,J
0,0,0,0,0,0,0,18,41,0,0,0,20,140,0,0,0,34,27,0,0,0,0,0,0,J
0,0,0,0,0,0,0,6,2,0,0,0,113,10,0,0,0,128,4,0,0,0,0,0,0,J
0,0,0,0,0,0,0,0,0,0,0,0,73,28,0,0,0,165,18,0,0,0,0,0,0,J
0,0,0,0,0,0,0,30,3,0,0,0,118,20,0,0,0,125,7,0,0,0,0,0,0,J
0,0,0,0,0,0,0,46,0,0,0,0,143,24,0,0,0,123,26,0,0,0,0,0,0,J
0,0,0,0,0,0,0,15,1,0,0,0,152,7,0,0,0,54,18,0,0,0,0,0,0,J
0,0,0,0,0,0,0,0,0,0,0,0,122,26,0,0,0,122,13,0,0,0,0,0,0,J
0,0,0,0,0,0,0,3,0,0,0,1,129,4,0,0,1,76,1,0,0,0,0,0,0,J
0,0,0,0,0,0,0,21,10,0,0,0,147,50,0,0,0,78,5,0,0,0,0,0,0,J
0,0,0,0,0,0,0,39,22,0,0,11,167,96,0,0,0,18,1,0,0,0,0,0,0,J
0,0,0,0,0,0,0,14,8,0,0,5,129,19,0,0,51,125,4,0,0,0,0,0,0,J
0,0,0,0,0,0,0,5,3,0,0,0,76,80,0,0,0,84,18,0,0,0,0,0,0,J
0,0,0,0,0,0,0,21,2,0,0,0,124,21,0,0,0,80,1,0,0,0,0,0,0,J
0,0,0,0,0,0,0,3,2,0,0,0,63,90,0,10,0,113,40,0,0,0,0,0,0,J
0,0,0,0,0,0,0,38,11,0,0,0,78,50,0,0,0,115,16,0,0,0,0,0,0,J
0,0,0,0,0,0,0,10,33,0,0,0,165,17,0,0,0,65,23,0,0,0,0,0,0,J
0,0,0,0,0,0,0,2,12,0,0,0,155,34,0,0,0,143,13,0,0,0,0,0,0,J
0,0,0,0,0,0,0,16,0,0,0,2,144,12,0,0,4,82,1,0,0,0,0,0,0,J
0,0,0,0,0,0,0,14,10,0,0,0,170,11,0,0,0,79,19,0,0,0,0,0,0,J
0,0,0,0,0,0,0,13,13,0,0,0,13,122,0,0,0,46,44,0,0,0,0,0,0,J
0,0,0,0,0,0,0,15,5,0,0,0,102,77,0,0,0,56,1,0,0,0,0,0,0,J
0,0,0,0,0,0,0,8,0,0,0,0,106,10,0,0,0,155,51,0,0,0,13,2,0,J
0,0,0,0,0,0,0,7,8,0,0,0,114,6,0,0,0,158,14,0,0,0,0,0,0,J
0,0,0,0,0,0,0,2,2,0,0,0,19,94,0,0,0,95,83,0,0,0,0,0,0,J
0,0,0,0,0,0,0,7,1,0,0,0,89,11,0,0,0,169,19,0,0,0,0,0,0,J
0,0,0,0,0,0,0,5,1,0,0,0,104,9,0,0,0,119,9,0,0,0,0,0,0,J
0,0,0,0,0,0,0,11,1,0,0,0,105,72,0,0,0,66,12,0,0,0,0,0,0,J
0,0,0,0,0,0,0,3,0,0,0,3,120,4,0,0,9,157,5,0,0,0,0,0,0,J
0,0,0,0,0,0,0,13,9,0,0,0,171,23,0,0,0,128,12,0,0,0,0,0,0,J
0,0,0,0,0,0,0,9,2,0,0,0,128,57,0,0,4,109,53,0,0,0,0,0,0,J
0,0,0,0,0,0,0,5,1,0,0,0,117,18,0,0,0,126,7,0,0,0,0,0,0,J
0,0,0,0,0,0,0,0,0,0,0,0,35,88,0,0,0,78,70,0,0,0,0,0,0,J
0,0,0,0,0,0,0,0,0,0,0,0,89,22,0,0,0,152,10,0,0,0,0,0,0,J
0,0,0,0,0,0,0,20,8,0,0,0,7,119,0,0,0,72,108,0,0,0,0,0,0,J
0,19,13,0,0,0,7,4,2,0,0,0,14,101,0,0,0,93,58,0,0,0,0,0,0,J
3,6,0,0,0,0,0,2,6,0,0,0,4,97,0,0,0,103,62,0,0,0,0,0,0,J
0,0,0,0,0,0,0,6,2,0,0,0,104,24,0,0,0,162,1,0,0,0,0,0,0,J
0,0,0,0,0,0,0,12,1,0,0,0,122,29,0,0,0,132,16,0,0,0,0,0,0,J
0,0,0,0,0,0,0,8,2,0,0,0,60,78,0,0,0,122,26,0,0,0,0,0,0,J
0,0,0,0,0,0,0,13,6,13,0,0,110,70,0,0,0,138,35,0,0,0,0,0,0,J
0,0,0,0,0,8,0,9,0,0,24,0,122,42,0,0,0,132,2,0,0,0,0,0,0,J
0,0,0,0,0,0,0,0,0,0,0,0,8,73,0,0,0,85,75,0,0,0,0,0,0,J
0,0,0,0,0,0,0,5,3,0,0,0,98,18,0,0,0,136,13,0,0,0,0,0,0,J
0,0,0,0,0,0,0,15,1,0,0,0,118,7,0,0,0,147,7,0,0,0,0,0,0,J
0,0,0,0,0,0,0,3,5,0,0,0,16,99,0,0,0,68,90,0,0,0,6,0,0,J
0,0,0,0,0,0,0,2,1,0,0,0,40,78,0,0,0,125,24,0,0,0,0,0,0,J
0,0,0,0,0,0,0,12,11,0,0,0,146,7,0,0,0,155,29,0,0,0,0,0,0,J
0,0,0,0,0,0,0,20,16,0,0,0,51,96,0,0,0,146,5,0,0,0,0,0,0,J
0,0,0,0,0,0,0,2,6,2,0,0,17,130,3,0,0,53,46,0,0,0,0,0,0,J
0,0,0,0,0,0,0,7,2,0,0,0,99,7,0,0,0,144,19,0,0,0,3,3,0,J
0,0,0,0,0,0,0,7,0,0,0,0,111,44,0,0,13,155,15,0,0,0,0,0,0,J
